ID,Tópico,Citação,Trecho do artigo (PT),Trecho da fonte (literal/verificado),Pág./Loc.,Tradução (PT),Diagnóstico,Decisão final,Status
10e,III. 3.3; 3.5; IV,KOÇAK et al. (2026),"'triângulo de confusão' entre normal, falha 9 e falha 15… 0,952 ± 0,004 com XGBoost","Tabela 9 — 'triângulo de confusão' Normal/F9/F15: Normal→F9 23%, Normal→F15 16%, F9→Normal 31%…; macro F1 run-level 0,9522 ± 0,0035 (IC 95% ±0,0044); 312 features (52 × 6 estatísticas)","Tabelas 9 e 12; Seções 2.2 e 2.6.1, verificado",—,✅ Literal (tabelas),Manter,✅ Aprovada
11,II. 2.2; III. 3.1,HAMMERLA; PLÖTZ (2015),"janelas temporais sobrepostas, nas quais amostras vizinhas compartilham a maior parte do conteúdo (HAMMERLA; PLÖTZ, 2015)",Let's (not) stick together: pairwise similarity biases cross-validation in activity recognition,"título (UbiComp 2015), DOI verificado",Vamos (não) ficar juntos: a similaridade par a par enviesa a validação cruzada no reconhecimento de atividades,✅ Título sustenta a afirmação sobre vizinhança de janelas,Manter,✅ Aprovada
12,II. 2.3,PEDREGOSA et al. (2011),"implementações do scikit-learn (PEDREGOSA et al., 2011)",Scikit-learn: Machine Learning in Python,"JMLR 12, verificado (sem DOI — URL)",—,✅ Citação de software,Manter,✅ Aprovada
13,II. 2.3,CHEN; GUESTRIN (2016),"e do XGBoost (CHEN; GUESTRIN, 2016)",XGBoost: A Scalable Tree Boosting System,"KDD 2016, verificado",—,✅ Fonte primária do algoritmo,Manter,✅ Aprovada
14,II. 2.3,BREIMAN (2001),"Random Forest (BREIMAN, 2001)",Random Forests,"Machine Learning 45(1), verificado",—,✅ Fonte primária,Manter,✅ Aprovada
15,II. 2.3,FRIEDMAN (2001),"gradient boosting (FRIEDMAN, 2001)",Greedy function approximation: a gradient boosting machine,"Ann. Statist. 29(5), verificado",—,✅ Fonte primária,Manter,✅ Aprovada
16,II. 2.4,BRODERSEN et al. (2010),"acurácia balanceada (BRODERSEN et al., 2010)",The Balanced Accuracy and Its Posterior Distribution,"ICPR 2010, verificado",—,✅ Fonte primária da métrica,Manter,✅ Aprovada
17,II. 2.4,GORODKIN (2004),"coeficiente de correlação de Matthews multiclasse (GORODKIN, 2004)",Comparing two K-category assignments by a K-category correlation coefficient,"Comput. Biol. Chem. 28(5-6), verificado",—,✅ Única definição formal do MCC para K classes,Manter,✅ Aprovada
18,II. 2.4,CHICCO; JURMAN (2020),"F1 macro e MCC como principais por sua menor suscetibilidade ao desbalanceamento (CHICCO; JURMAN, 2020)",The advantages of the Matthews correlation coefficient (MCC) over F1 score and accuracy in binary classification evaluation,"BMC Genomics 21(1), verificado",As vantagens do MCC sobre F1 e acurácia na avaliação de classificação binária,✅ Título sustenta; nota: o artigo trata do caso binário — a extensão multiclasse é via Gorodkin (2004),Manter (com Gorodkin ao lado),✅ Aprovada
19,II. 2.4,DEMŠAR (2006),"teste de Friedman seguido de Wilcoxon pareado com correção de Holm (DEMŠAR, 2006)",Statistical Comparisons of Classifiers over Multiple Data Sets — Friedman + pós-hoc; Wilcoxon para pares; contra o t-test pareado,"JMLR 7, verificado (sem DOI — URL)",—,✅ Protocolo canônico,Manter,✅ Aprovada
20,II. 2.4,BENAVOLI; CORANI; MANGILI (2016),"preferido ao pós-teste de Nemenyi (BENAVOLI; CORANI; MANGILI, 2016)",Should We Really Use Post-Hoc Tests Based on Mean-Ranks?,"JMLR 17(5), verificado",Devemos mesmo usar pós-testes baseados em postos médios?,✅ Título é a crítica citada,Manter,✅ Aprovada
21,III. 3.2,SOKOLOV; PYATNITSKY; ALABUGIN (2019),"reportam acurácia de 0,67 para o Random Forest e 0,46 para a regressão logística, com o rótulo da execução e sem divisão por execução","Tabela de acurácias: LR 0,46; Lasso 0,46; SVM 0,57; DT 0,23; AdaBoost 0,34; GB 0,46; RF 0,67; FCNN 0,82 — 'Additional Tennessee Eastman Process Simulation Data for Anomaly Detection Evaluation [18] is a modified version of the classical dataset'; '5.000.000 records'","Seção 3 e tabela de resultados (FME Trans. 47(4)), PDF lido pelo agente",—,✅ Valores lidos do PDF; base Rieth confirmada no texto; sem menção a divisão por run,Manter,✅ Aprovada
22,IV. Conclusão,REINARTZ; KULAHCI; RAVN (2021),"avaliar os modelos em simulações independentes, como o conjunto de Reinartz, Kulahci e Ravn (2021)","An extended Tennessee Eastman simulation dataset for fault-detection and decision support systems — 28 falhas, 6 modos, simulações repetidas","título + resumo (CCE 149), verificado",—,✅ Título sustenta o uso como trabalho futuro,Manter,✅ Aprovada
23,I. §3 / Tabela 1,Autores (2026) — 13 trabalhos,"Nenhum dos treze reporta o coeficiente de correlação de Matthews; o custo computacional, quando aparece, restringe-se ao tempo de treinamento ou ao modelo proposto; e apenas três declaram como tratam as amostras anteriores à introdução da falha.","Busca literal nos 13 textos completos: 'matthews|MCC|phi coefficient' = 0; custo: Lyu (tempo de treino de todos os modelos, sem equipamento), Koçak (latência só do XGBoost), Khan (tempo de treino só do CRNN); rótulo: Li ('first 160 timesteps are labeled as 0'), Lyu ('label is assigned based on the fault state at the final time step'), Koçak ('restricted to post-fault-onset observations only').",rev bibliografica/08-AUDITORIA-TABELA1.md; pdfs/tabela1/busca_literal.py,—,✅ Verificado por busca reproduzível em 06/09/2026; critério de rótulo enunciado,Manter,✅ Aprovada
24,III. 3.1 / Tabela 3,"Autores (2026) — piloto, 10 repetições","A divisão por amostra produziu resultados superiores em todas as dez repetições e nos quatro modelos, com diferença média de 0,013 e 0,013 em F1 macro para árvore e Random Forest regularizados e de 0,028 e 0,029 para as versões sem poda; os intervalos de confiança excluem zero em todos os casos.","results/tables/tab_piloto_vazamento_resumo.csv — DT_leaf50 Δ=0,0133 [0,0108;0,0159]; DT sem poda Δ=0,0275 [0,0254;0,0295]; RF50_leaf50 Δ=0,0131 [0,0116;0,0147]; RF50 sem poda Δ=0,0293 [0,0280;0,0306]; Wilcoxon p=0,002 (n=10) em todos.",ProjetoA_WP1A/src/04b_piloto_vazamento_repeticoes.py,—,✅ Gerado em 07/09/2026; substitui a medida de uma única divisão,Manter,✅ Aprovada
25,III. 3.2 / Tabela 4,Autores (2026) — bootstrap por execução,"o bootstrap por execução produziu intervalos de 95% com largura inferior a 0,003 em F1 macro, e as diferenças entre todos os pares de modelos excluíram zero, com diferença mínima de 0,022 entre os pares mais próximos","results/tables/tab10_bootstrap_execucao.csv (larguras 0,0014 a 0,0021) e tab10b_bootstrap_pares.csv (15/15 pares com exclui_zero=True; menor |diferença| 0,0217 entre SVM aproximado e regressão logística). B=2000, reamostragem estratificada por classe das 10.500 execuções.",ProjetoA_WP1A/src/10_bootstrap_execucao.py,—,✅ Gerado em 07/09/2026; responde à limitação das 5 sementes,Manter,✅ Aprovada
26,III. 3.2 / II. 2.3,Autores (2026) — regressão logística convergida,"a regressão logística convergiu em 512 iterações com C = 10 … Quanto a H3, a regressão logística, treinada até a convergência, confirmou-se competitiva em custo, mas obteve F1 nulo em cinco classes.","busca_hp_regressao_logistica_convergida.json: C=10, n_iter=512, max_iter=5000, convergiu=true, F1 val 0,4641. treino_final: n_iter=841/5000 nas 5 sementes, F1 macro 0,4749, MCC 0,553. tab04: F1=0 nas classes 3, 9, 14, 15 e 19.",ProjetoA_WP1A/src/06c_busca_hp_lr.py; results/metadata/treino_final/,—,✅ Corrige execução anterior que parou em max_iter=300 sem convergir,Manter,✅ Aprovada
